title	author	year	bookID	bookID_encoded	fiction	non-fiction	mystery	thriller	romance	science fiction	fantasy	historical fiction	biography	autobiography	history	science	technology	health	cooking	travel	poetry	drama	children's literature	young adult	crime	horror	comedy	adventure
The Catcher in the Rye	J.D. Salinger	1991	0316769487	85	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Midnight in the Garden of Good and Evil: A Savannah Story	John Berendt	1994	0679429220	391	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pretend You Don't See Her	Mary Higgins Clark	1998	0671867156	390	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Pillars of the Earth	Ken Follett	1996	0451166892	295	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Five People You Meet in Heaven	Mitch Albom	2003	0786868716	428	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Beach House	James Patterson	2003	0446612545	278	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Angels &amp; Demons	Dan Brown	2001	0671027360	376	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Girl Who Loved Tom Gordon	Stephen King	2000	0671042858	382	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Little Altars Everywhere: A Novel	Rebecca Wells	1996	0060976845	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Before I Say Good-Bye	Mary Higgins Clark	2001	0671004573	369	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Atonement : A Novel	IAN MCEWAN	2003	038572179X	191	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bridget Jones's Diary	Helen Fielding	1997	0330332775	93	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
The God of Small Things	Arundhati Roy	1998	0060977493	22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Big Bad Wolf: A Novel	James Patterson	2003	0316602906	81	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Four Blind Mice	James Patterson	2002	0316693006	83	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Congo	Michael Crichton	1995	0345378490	110	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Plainsong (Vintage Contemporaries)	KENT HARUF	2000	0375705856	142	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
All That Remains (Kay Scarpetta Mysteries (Paperback))	Patricia D. Cornwell	1993	0380718332	153	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Brethren	JOHN GRISHAM	2000	0385497466	179	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The King of Torts	John Grisham	2003	0385508042	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bleachers	John Grisham	2003	0385511612	186	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Sisterhood of the Traveling Pants	ANN BRASHARES	2003	0385730586	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Roses Are Red (Alex Cross Novels)	James Patterson	2001	0446605484	264	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Rescue	Nicholas Sparks	2001	0446610399	275	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Manhattan Hunt Club	JOHN SAUL	2002	0449006522	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Girl with a Pearl Earring	Tracy Chevalier	2001	0452282152	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Deception Point	Dan Brown	2002	0671027387	377	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Tis : A Memoir	Frank McCourt	1999	0684848783	403	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chicken Soup for the Soul (Chicken Soup for the Soul)	Jack Canfield	1993	155874262X	454	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Wicked: The Life and Times of the Wicked Witch of the West	Gregory Maguire	1996	0060987103	23	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Life of Pi	Yann Martel	2002	0151008116	52	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right	Al Franken	2003	0525947647	327	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Secret History	DONNA TARTT	1993	0804111359	437	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper))	Jack Canfield	1996	1558744150	456	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Animal Farm	George Orwell	2004	0451526341	308	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Catch 22	Joseph Heller	1996	0684833395	400	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A Painted House	John Grisham	2001	044023722X	243	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Vinegar Hill (Oprah's Book Club (Paperback))	A. Manette Ansay	1998	0380730138	155	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
The Secret Life of Bees	Sue Monk Kidd	2003	0142001740	49	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Digital Fortress : A Thriller	Dan Brown	2003	0312995423	76	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Heart of the Sea (Irish Trilogy)	Nora Roberts	2000	0515128554	318	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
The Little Prince	Antoine de Saint-Exup̩ry	1968	0156528207	53	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Jonathan Livingston Seagull	Richard Bach	1976	0380012863	150	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Moonlight Becomes You	Mary Higgins Clark	1997	0671867113	389	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Divine Secrets of the Ya-Ya Sisterhood : A Novel	Rebecca Wells	1996	0060173289	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Perfect Storm : A True Story of Men Against the Sea	Sebastian Junger	1998	006101351X	28	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
The Lovely Bones: A Novel	Alice Sebold	2002	0316666343	82	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hannibal	Thomas Harris	2000	0440224675	235	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
The Four Agreements: A Practical Guide to Personal Freedom	Don Miguel Ruiz	1997	1878424319	466	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Firm	John Grisham	1992	044021145X	222	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A Widow for One Year	JOHN IRVING	1999	0345424719	123	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Empire Falls	Richard Russo	2002	0375726403	146	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Black and Blue	ANNA QUINDLEN	1999	0440226104	237	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
She's Come Undone (Oprah's Book Club)	Wally Lamb	1998	0671021001	372	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Nickel and Dimed: On (Not) Getting By in America	Barbara Ehrenreich	2002	0805063897	440	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1)	Tim Lahaye	1996	0842329129	443	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Bean Trees	Barbara Kingsolver	1989	0060915544	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Daughter of Fortune	Isabel Allende	2000	0060932759	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
The Red Tent (Bestselling Backlist)	Anita Diamant	1998	0312195516	55	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Nanny Diaries: A Novel	Emma McLaughlin	2002	0312278586	58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Postmortem	Patricia Daniels Cornwell	1993	0380710218	152	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Three Junes	JULIA GLASS	2003	0385721420	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Back Roads	Tawni O'Dell	2001	0451202341	304	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
A Thousand Acres (Ballantine Reader's Circle)	JANE SMILEY	1992	0449907481	291	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Four Blondes	Candace Bushnell	2001	080213825X	432	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
The Chamber	John Grisham	1994	0385424728	171	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Partner	John Grisham	1997	0385472951	172	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Chosen Prey	John Sandford	2004	0425182878	212	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Night Sins	TAMI HOAG	1995	055356451X	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
The Vampire Lestat (Vampire Chronicles, Book II)	ANNE RICE	1986	0345313860	94	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
The Mummy or Ramses the Damned	Anne Rice	1991	0345369947	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Daisy Fay and the Miracle Man	Fannie Flagg	1992	0446394521	255	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Angela's Ashes: A Memoir	Frank McCourt	1999	068484267X	401	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fast Food Nation: The Dark Side of the All-American Meal	Eric Schlosser	2002	0060938455	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
One for the Money (Stephanie Plum Novels (Paperback))	Janet Evanovich	1995	0061009059	27	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Along Came a Spider (Alex Cross Novels)	James Patterson	1993	0446364193	254	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life	Spencer Johnson	1998	0399144463	196	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Where the Heart Is (Oprah's Book Club (Paperback))	Billie Letts	1998	0446672211	281	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Girls' Guide to Hunting and Fishing	Melissa Bank	2000	0140293248	44	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Icy Sparks	Gwyn Hyman Rubio	2001	0142000205	47	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Da Vinci Code	Dan Brown	2003	0385504209	181	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bridget Jones : The Edge of Reason	Helen Fielding	2000	0670892963	364	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover))	Anita Shreve	1999	0316789089	90	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skipping Christmas	JOHN GRISHAM	2001	0385505833	182	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
Daddy's Little Girl	Mary Higgins Clark	2002	0743206045	411	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Nights in Rodanthe	Nicholas Sparks	2002	0446531332	258	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies	Laura Esquivel	1992	0385420161	169	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Two Towers (The Lord of the Rings, Part 2)	J.R.R. TOLKIEN	1986	0345339711	98	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suzanne's Diary for Nicholas	James Patterson	2001	0316969443	92	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
2nd Chance	James Patterson	2002	0316693200	84	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
The Bad Beginning (A Series of Unfortunate Events, Book 1)	Lemony Snicket	1999	0064407667	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Me Talk Pretty One Day	David Sedaris	2001	0316776963	86	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
About a Boy (Movie Tie-In)	Nick Hornby	2002	1573229571	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
Dreamcatcher	Stephen King	2001	0743211383	413	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
The Hitchhiker's Guide to the Galaxy	Douglas Adams	1995	0345391802	116	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Giver (21st Century Reference)	LOIS LOWRY	1994	0440219078	228	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A Time to Kill	JOHN GRISHAM	1992	0440211727	223	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
Charming Billy	Alice McDermott	1999	038533334X	164	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Middlesex: A Novel	Jeffrey Eugenides	2003	0312422156	63	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Rainmaker	JOHN GRISHAM	1996	044022165X	231	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Amazing Adventures of Kavalier &amp; Clay	Michael Chabon	2001	0312282990	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
The Phantom Tollbooth	Norton Juster	1993	0394820371	194	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure	WILLIAM GOLDMAN	1987	0345348036	101	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SHIPPING NEWS	Annie Proulx	1994	0671510053	383	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Anne of Green Gables (Anne of Green Gables Novels (Paperback))	L.M. MONTGOMERY	1982	055321313X	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Fall On Your Knees (Oprah #45)	Ann-Marie MacDonald	2002	0743237188	416	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
While I Was Gone	Sue Miller	1999	0345443284	128	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
The House of the Spirits	Isabel Allende	1986	0553273914	337	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Interpreter of Maladies	Jhumpa Lahiri	1999	039592720X	195	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Divine Secrets of the Ya-Ya Sisterhood: A Novel	Rebecca Wells	1997	0060928336	13	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She's Come Undone (Oprah's Book Club (Paperback))	Wally Lamb	1996	0671003755	366	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Dragonfly in Amber	DIANA GABALDON	1993	0440215625	227	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Naked	David Sedaris	1998	0316777730	87	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Kiss the Girls	James Patterson	1995	0446601241	260	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Witching Hour (Lives of the Mayfair Witches)	ANNE RICE	1993	0345384466	112	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Jack &amp; Jill (Alex Cross Novels)	James Patterson	1997	0446604801	262	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The House on Mango Street (Vintage Contemporaries)	SANDRA CISNEROS	1991	0679734775	393	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Perks of Being a Wallflower	Stephen Chbosky	1999	0671027344	375	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
American Gods	Neil Gaiman	2002	0380789035	158	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Red Dragon	Thomas Harris	2000	0440206154	220	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jurassic Park	Michael Crichton	1999	0345370775	108	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Neverwhere	Neil Gaiman	1998	0380789019	157	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
The Thorn Birds	Colleen McCullough	1978	0380018179	151	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Memoirs of a Geisha Uk	Arthur Golden	0	0099771519	37	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamb : The Gospel According to Biff, Christ's Childhood Pal	Christopher Moore	2003	0380813815	160	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
The Color of Water: A Black Man's Tribute to His White Mother	James McBride	1997	1573225789	461	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anne Frank: The Diary of a Young Girl	ANNE FRANK	1993	0553296981	348	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Stand: Complete and Uncut	Stephen King	1991	0451169530	297	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Shopaholic Takes Manhattan (Summer Display Opportunity)	Sophie Kinsella	2002	0385335881	167	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Confessions of a Shopaholic (Summer Display Opportunity)	SOPHIE KINSELLA	2001	0385335482	165	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Good Omens	Neil Gaiman	1996	0441003257	247	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Message in a Bottle	Nicholas Sparks	1999	0446606812	267	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Fatal Voyage	Kathy Reichs	2002	0671028375	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
The Poisonwood Bible: A Novel	Barbara Kingsolver	1999	0060930535	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A Lesson Before Dying (Vintage Contemporaries (Paperback))	Ernest J. Gaines	1997	0375702709	137	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jewel	Bret Lott	1999	0671038184	379	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Their Eyes Were Watching God: A Novel	Zora Neale Hurston	1990	0060916508	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A Prayer for Owen Meany	John Irving	1990	0345361792	105	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
The Shipping News : A Novel	Annie Proulx	2001	0743225406	414	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The No. 1 Ladies' Detective Agency (Today Show Book Club #8)	Alexander McCall Smith	2003	1400034779	453	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shopgirl	Steve Martin	2001	0786885688	430	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Breath, Eyes, Memory	Edwidge Danticat	1998	037570504X	141	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail)	Bill Bryson	1999	0767902521	423	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
The Kitchen God's Wife	Amy Tan	1992	080410753X	435	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Songs in Ordinary Time (Oprah's Book Club (Paperback))	Mary McGarry Morris	1996	0140244824	42	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
The Last Juror	John Grisham	2004	0385510438	185	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
At Home in Mitford (The Mitford Years)	Jan Karon	1996	014025448X	43	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bel Canto: A Novel	Ann Patchett	2002	0060934417	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
All Around the Town	Mary Higgins Clark	1993	0671793489	388	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
The Loop	Nicholas Evans	1999	0440224624	234	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Good in Bed	Jennifer Weiner	2002	0743418174	419	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Ellen Foster	Kaye Gibbons	1997	0375703055	138	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
The Hours : A Novel	Michael Cunningham	2000	0312243022	56	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cold Mountain : A Novel	CHARLES FRAZIER	1998	0375700757	136	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fried Green Tomatoes at the Whistle Stop Cafe	Fannie Flagg	1989	0070212570	36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
The Last Time They Met : A Novel	Anita Shreve	2002	0316781266	89	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
