longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.45,41.28,15.0,2740.0,503.0,1188.0,445.0,3.4519,128800.0
-122.27,38.68,18.0,742.0,142.0,343.0,119.0,3.1563,98400.0
-119.23,35.77,36.0,3225.0,635.0,2034.0,593.0,2.4044,72500.0
-122.43,37.8,52.0,2696.0,572.0,925.0,552.0,5.0365,500000.0
-117.89,33.94,20.0,3349.0,685.0,1822.0,675.0,4.7216,227000.0
-122.01,39.21,50.0,1592.0,372.0,781.0,307.0,2.2679,69100.0
-121.62,36.68,43.0,2534.0,592.0,2448.0,603.0,2.4884,130500.0
-118.28,34.01,50.0,2601.0,794.0,3080.0,770.0,1.8656,122900.0
-118.06,33.78,22.0,4048.0,562.0,1637.0,541.0,7.3463,355600.0
-122.07,37.67,28.0,2932.0,739.0,1198.0,624.0,3.2417,210800.0
-117.65,33.42,25.0,2174.0,428.0,603.0,352.0,3.3967,249400.0
-118.26,33.97,47.0,1504.0,374.0,1168.0,358.0,1.4625,94200.0
-118.19,33.99,36.0,1273.0,379.0,1398.0,353.0,2.4516,147800.0
-122.04,36.97,49.0,792.0,136.0,331.0,137.0,5.2128,238600.0
-117.25,32.75,36.0,1929.0,526.0,974.0,491.0,1.7622,205800.0
-117.3,33.17,6.0,7880.0,1533.0,3760.0,1460.0,4.1807,182600.0
-117.27,32.83,35.0,1420.0,193.0,469.0,177.0,8.0639,500001.0
-117.82,33.77,32.0,2308.0,301.0,967.0,320.0,7.0565,324600.0
-118.24,33.95,21.0,1260.0,342.0,1167.0,310.0,0.9708,107600.0
-118.99,35.37,36.0,832.0,198.0,814.0,174.0,1.4773,57400.0
-120.44,34.97,26.0,1705.0,344.0,1605.0,307.0,3.7589,113700.0
-121.49,38.56,52.0,1844.0,392.0,667.0,353.0,3.0033,103500.0
-121.57,39.48,15.0,202.0,54.0,145.0,40.0,0.8252,42500.0
-119.59,36.11,32.0,752.0,159.0,524.0,155.0,2.25,50000.0
-118.31,34.06,34.0,2470.0,1197.0,2326.0,1055.0,1.9038,325000.0
-118.33,33.91,35.0,1092.0,302.0,962.0,297.0,3.5903,183300.0
-119.05,36.07,21.0,2472.0,523.0,1238.0,504.0,1.7756,62900.0
-118.23,34.13,48.0,737.0,166.0,462.0,131.0,3.5893,212500.0
-122.42,37.74,52.0,1271.0,353.0,1076.0,324.0,2.9911,263900.0
-121.91,36.98,16.0,1957.0,408.0,865.0,369.0,2.6875,233300.0
-119.12,35.33,4.0,8574.0,1489.0,4250.0,1444.0,5.1036,103400.0
-122.62,38.54,24.0,2409.0,464.0,1006.0,403.0,4.5167,265200.0
-117.66,33.61,17.0,3464.0,519.0,1713.0,530.0,6.0471,248400.0
-118.33,34.07,52.0,1482.0,171.0,531.0,161.0,15.0001,500001.0
-118.44,35.13,21.0,1899.0,447.0,1133.0,391.0,1.8636,67900.0
-116.94,34.4,20.0,6541.0,1401.0,2631.0,980.0,2.1339,78500.0
-118.25,34.17,52.0,1532.0,292.0,631.0,275.0,5.1242,372900.0
-118.52,34.32,18.0,7498.0,976.0,3189.0,955.0,8.1248,374000.0
-119.18,34.22,15.0,4615.0,1008.0,2549.0,973.0,3.9063,198700.0
-121.34,38.01,17.0,2033.0,452.0,1114.0,446.0,3.2872,175000.0
-118.34,34.08,52.0,1721.0,195.0,688.0,196.0,15.0001,500001.0
-122.18,37.73,44.0,548.0,119.0,435.0,136.0,2.1111,79700.0
-121.79,37.33,10.0,3283.0,550.0,2491.0,522.0,6.6633,283700.0
-117.82,33.68,3.0,7105.0,1459.0,3068.0,1241.0,6.1395,358000.0
-122.12,37.75,28.0,794.0,111.0,329.0,109.0,7.6923,329800.0
-122.16,37.74,44.0,1097.0,239.0,609.0,215.0,2.0227,103100.0
-117.22,34.12,34.0,2457.0,499.0,1538.0,507.0,2.809,82500.0
-118.21,34.12,52.0,1590.0,360.0,1127.0,321.0,3.4625,173900.0
-118.13,34.44,10.0,2726.0,465.0,1773.0,459.0,4.8295,319100.0
-118.59,34.22,17.0,6015.0,1464.0,3056.0,1347.0,4.0077,229000.0
-117.79,34.45,18.0,2986.0,597.0,1355.0,472.0,3.2765,165000.0
-118.44,34.02,32.0,2242.0,490.0,921.0,461.0,4.0429,500001.0
-119.18,34.23,16.0,4609.0,1220.0,2147.0,1007.0,3.375,218800.0
-122.43,37.8,52.0,1976.0,726.0,1045.0,669.0,3.6893,475000.0
-118.01,33.75,30.0,3380.0,722.0,2269.0,652.0,4.525,186000.0
-118.02,34.09,24.0,2080.0,514.0,1976.0,478.0,2.6917,170000.0
-118.25,33.98,37.0,1045.0,361.0,1666.0,337.0,1.7929,97200.0
-117.63,33.62,9.0,4257.0,785.0,1293.0,745.0,3.7139,196700.0
-121.92,36.56,39.0,2144.0,538.0,749.0,419.0,2.7039,364000.0
-120.45,34.95,7.0,1479.0,532.0,1057.0,459.0,2.2538,162500.0
-122.87,38.61,23.0,2676.0,521.0,1456.0,500.0,3.7361,173700.0
-117.9,33.65,24.0,4496.0,877.0,1928.0,855.0,4.6808,245500.0
-122.0,37.98,32.0,1013.0,169.0,436.0,173.0,5.1118,226900.0
-121.31,38.59,35.0,3295.0,560.0,1454.0,536.0,3.1711,101900.0
-122.71,38.33,13.0,4011.0,936.0,2064.0,914.0,3.6953,157600.0
-118.24,33.99,28.0,312.0,89.0,498.0,87.0,2.4107,96400.0
-122.36,40.57,31.0,431.0,90.0,231.0,78.0,2.184,77300.0
-117.32,33.17,18.0,2143.0,299.0,828.0,283.0,4.2383,239000.0
-117.5,34.04,5.0,3958.0,665.0,2456.0,666.0,5.1647,154700.0
-117.92,33.72,17.0,3318.0,502.0,1520.0,498.0,5.5501,274200.0
-118.12,34.18,44.0,2357.0,342.0,891.0,337.0,6.3467,352700.0
-122.1,37.66,35.0,686.0,142.0,480.0,149.0,3.875,162100.0
-121.99,36.98,40.0,1104.0,224.0,669.0,215.0,4.3409,256300.0
-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,331400.0
-121.99,38.26,18.0,921.0,126.0,368.0,120.0,6.0842,261100.0
-118.39,33.88,33.0,2543.0,439.0,1098.0,416.0,5.9683,495500.0
-118.08,33.97,36.0,1678.0,323.0,1380.0,352.0,3.5481,163300.0
-118.32,33.34,52.0,996.0,264.0,341.0,160.0,2.7361,450000.0
-118.28,33.94,43.0,1201.0,292.0,840.0,252.0,2.7917,105600.0
-118.04,34.09,34.0,2597.0,461.0,1542.0,470.0,4.6211,248900.0
-119.16,34.28,11.0,5330.0,1056.0,2801.0,1028.0,4.763,232700.0
-118.04,33.96,37.0,1948.0,395.0,1163.0,379.0,3.225,154000.0
-118.13,33.84,48.0,1895.0,294.0,881.0,293.0,6.3364,307400.0
-117.79,33.56,36.0,2057.0,329.0,658.0,309.0,7.866,500001.0
-118.07,33.87,18.0,3405.0,556.0,1945.0,509.0,5.7652,299100.0
-118.59,34.26,20.0,8146.0,1131.0,3562.0,1054.0,7.167,357100.0
-119.04,36.07,17.0,2623.0,659.0,1912.0,618.0,1.5893,52000.0
-119.01,35.33,42.0,1120.0,255.0,677.0,213.0,1.5429,39400.0
-119.77,36.81,28.0,1713.0,302.0,663.0,282.0,3.567,85500.0
-118.18,34.05,41.0,616.0,196.0,814.0,180.0,3.3333,115100.0
-119.87,36.93,13.0,1429.0,209.0,702.0,205.0,4.3625,111800.0
-117.93,33.61,27.0,1806.0,465.0,791.0,358.0,3.8125,366700.0
-118.56,34.21,13.0,8327.0,1849.0,4126.0,1773.0,3.7313,189800.0
-119.72,34.43,36.0,1156.0,309.0,521.0,304.0,2.6014,320600.0
-119.03,35.38,52.0,1695.0,290.0,540.0,260.0,2.7312,147100.0
-117.98,33.74,29.0,3443.0,635.0,2257.0,620.0,4.7404,207500.0
-119.78,36.72,22.0,354.0,121.0,530.0,115.0,2.1458,34400.0
-121.06,39.04,15.0,1999.0,287.0,585.0,246.0,5.5161,361900.0
-118.31,33.83,45.0,2929.0,755.0,1635.0,652.0,2.9375,273000.0
-117.07,32.69,28.0,1485.0,275.0,820.0,283.0,4.069,153300.0
-119.43,36.59,15.0,1371.0,306.0,1266.0,309.0,1.767,63300.0
-117.07,32.76,14.0,2523.0,545.0,1297.0,525.0,2.3886,138100.0
-121.07,38.9,52.0,1280.0,281.0,523.0,266.0,1.7375,122200.0
-117.39,34.12,7.0,5059.0,780.0,3253.0,801.0,4.9196,140500.0
-118.16,33.88,33.0,2180.0,522.0,1634.0,467.0,3.0114,167000.0
-119.25,34.3,34.0,1189.0,220.0,445.0,203.0,4.8824,396400.0
-118.02,33.95,36.0,1705.0,299.0,871.0,296.0,4.6184,179800.0
-118.31,33.94,43.0,2104.0,393.0,1132.0,394.0,3.0682,142000.0
-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,1.7772,97500.0
-122.81,38.08,19.0,1615.0,366.0,815.0,337.0,3.4609,238800.0
-121.97,38.34,11.0,1500.0,319.0,899.0,304.0,4.5568,127200.0
-118.07,33.88,17.0,2407.0,539.0,1422.0,524.0,4.2619,139700.0
-121.28,38.74,33.0,4384.0,778.0,1775.0,789.0,4.05,134700.0
-121.52,39.49,30.0,1217.0,238.0,677.0,233.0,2.6563,63600.0
-122.24,37.76,52.0,2646.0,581.0,1128.0,522.0,3.0718,266700.0
-118.36,34.19,11.0,2921.0,685.0,1512.0,664.0,4.1445,176400.0
-122.45,38.51,18.0,1297.0,337.0,610.0,312.0,1.9441,184400.0
-117.64,33.61,14.0,5232.0,810.0,3041.0,839.0,5.826,247900.0
-122.43,40.66,15.0,2532.0,458.0,1183.0,450.0,2.5417,92200.0
-118.31,34.03,29.0,2438.0,867.0,2114.0,753.0,0.8351,150000.0
-121.92,37.29,32.0,1260.0,199.0,560.0,207.0,6.5858,346700.0
-118.02,34.12,38.0,1778.0,288.0,870.0,281.0,6.5784,408500.0
-122.46,37.68,23.0,2812.0,769.0,1983.0,681.0,2.9413,229400.0
-117.81,34.01,12.0,9197.0,1642.0,4332.0,1554.0,4.9589,282100.0
-118.23,33.93,37.0,239.0,49.0,308.0,52.0,1.4028,105400.0
-118.24,34.15,7.0,2063.0,670.0,1892.0,643.0,1.7301,202300.0
-121.69,36.96,23.0,1229.0,254.0,687.0,232.0,5.1433,305600.0
-119.82,36.32,18.0,942.0,193.0,424.0,174.0,2.0673,87500.0
-122.04,37.63,33.0,952.0,172.0,369.0,159.0,3.2331,226700.0
-122.33,37.58,27.0,5144.0,1481.0,2518.0,1447.0,3.4836,287900.0
-118.95,34.16,21.0,2953.0,419.0,1397.0,410.0,6.541,291500.0
-118.43,34.02,38.0,2172.0,437.0,830.0,368.0,3.9091,500001.0
-120.74,39.9,23.0,1017.0,218.0,387.0,152.0,2.2656,88200.0
-118.18,34.02,35.0,661.0,142.0,720.0,143.0,2.8977,142500.0
-122.11,37.88,37.0,4005.0,614.0,1602.0,606.0,6.4666,348200.0
-118.45,34.03,45.0,727.0,168.0,520.0,175.0,2.6528,300000.0
-118.17,33.77,45.0,2143.0,697.0,1004.0,594.0,3.0153,220000.0
-117.08,32.7,37.0,2176.0,418.0,1301.0,375.0,2.875,98900.0
-116.18,33.69,17.0,89.0,19.0,79.0,21.0,2.375,155000.0
-117.28,34.12,47.0,2456.0,611.0,1653.0,512.0,1.3973,66100.0
-116.98,33.26,12.0,5898.0,1002.0,3129.0,945.0,4.7647,254100.0
-121.83,37.99,23.0,1970.0,296.0,935.0,279.0,4.4853,145900.0
-118.4,33.87,45.0,2093.0,497.0,842.0,472.0,6.3231,500001.0
-118.35,33.91,28.0,2108.0,534.0,1485.0,536.0,4.0775,241400.0
-117.39,34.11,16.0,1140.0,181.0,627.0,206.0,4.9444,132700.0
-118.19,33.99,35.0,1172.0,436.0,1741.0,408.0,2.4596,154700.0
-118.45,34.0,46.0,1777.0,362.0,896.0,334.0,4.45,348300.0
-120.48,37.3,39.0,1015.0,356.0,875.0,313.0,1.5,67000.0
-121.19,38.67,16.0,1754.0,284.0,773.0,277.0,4.817,147000.0
-119.66,36.3,18.0,1147.0,202.0,717.0,212.0,3.3681,70500.0
-120.84,37.47,11.0,2285.0,499.0,1468.0,471.0,2.7857,110300.0
-121.76,37.68,32.0,1078.0,207.0,555.0,197.0,3.1856,186900.0
-117.68,34.01,20.0,7326.0,1555.0,5718.0,1538.0,3.2073,123500.0
-121.27,38.71,16.0,4082.0,666.0,1912.0,652.0,4.4609,142900.0
-118.45,34.27,33.0,1194.0,229.0,839.0,230.0,3.705,185800.0
-121.94,37.24,26.0,2561.0,388.0,1165.0,393.0,7.3522,363800.0
-118.0,33.84,29.0,2641.0,637.0,2413.0,619.0,2.8169,165100.0
-117.71,33.47,17.0,2681.0,454.0,830.0,410.0,5.5507,345700.0
-119.25,36.27,23.0,1494.0,275.0,678.0,235.0,2.6875,69100.0
-122.11,37.71,36.0,4569.0,824.0,1950.0,819.0,4.65,206800.0
-121.48,38.56,44.0,1151.0,263.0,518.0,258.0,2.0089,113600.0
-118.13,33.83,45.0,3087.0,574.0,1474.0,567.0,5.5196,227600.0
-117.64,34.12,18.0,3605.0,534.0,1682.0,480.0,5.8407,202900.0
-120.18,39.17,18.0,1703.0,360.0,354.0,163.0,3.6563,146900.0
-116.95,33.76,10.0,6890.0,1702.0,3141.0,1451.0,1.7079,95900.0
-118.39,34.03,25.0,3442.0,1050.0,1890.0,914.0,3.0574,319400.0
-118.02,33.97,34.0,1903.0,293.0,887.0,306.0,6.148,313800.0
-122.54,37.74,42.0,2006.0,415.0,1230.0,435.0,4.1786,271100.0
-121.02,37.7,16.0,3476.0,650.0,2126.0,665.0,3.3438,125400.0
-118.36,33.92,26.0,3695.0,1144.0,2308.0,1009.0,2.6667,229300.0
-121.56,37.0,20.0,3976.0,953.0,3866.0,950.0,2.5387,160100.0
-121.29,38.13,20.0,3168.0,514.0,1390.0,490.0,5.0,154800.0
-119.23,34.15,18.0,6213.0,1188.0,2679.0,1000.0,3.748,380400.0
-122.18,37.77,52.0,1748.0,362.0,1029.0,366.0,2.0556,100000.0
-118.19,33.78,42.0,1021.0,300.0,533.0,187.0,1.8036,175000.0
-120.57,37.35,18.0,704.0,176.0,520.0,154.0,3.003,101300.0
-118.31,34.16,38.0,2347.0,665.0,1317.0,547.0,3.2112,349300.0
-119.29,36.32,27.0,1513.0,374.0,839.0,350.0,1.2012,64600.0
-121.92,37.36,42.0,198.0,32.0,158.0,32.0,3.1563,137500.0
-121.45,38.61,32.0,2436.0,612.0,1509.0,618.0,1.0424,81400.0
-115.75,35.23,5.0,208.0,78.0,132.0,56.0,2.5333,75000.0
-117.88,33.71,30.0,1739.0,359.0,1914.0,369.0,3.5551,185200.0
-118.01,33.94,35.0,1323.0,235.0,807.0,247.0,4.2708,174800.0
-117.62,34.08,24.0,2801.0,554.0,2064.0,529.0,4.4946,136000.0
-122.2,37.8,46.0,2041.0,405.0,1059.0,399.0,3.8487,203300.0
-119.45,36.59,28.0,1274.0,215.0,572.0,202.0,3.825,84200.0
-121.98,37.97,26.0,2714.0,390.0,1232.0,409.0,5.9617,231100.0
-119.83,36.54,31.0,1732.0,332.0,979.0,294.0,2.5208,60000.0
-121.2,38.66,17.0,1605.0,217.0,732.0,241.0,5.47,204800.0
-121.76,36.77,27.0,1608.0,503.0,2031.0,498.0,2.3384,121000.0
-119.01,35.37,45.0,629.0,143.0,568.0,139.0,1.7321,84400.0
-122.13,37.39,27.0,3385.0,427.0,1248.0,409.0,12.0372,500001.0
-117.36,33.98,33.0,2070.0,469.0,1851.0,467.0,2.4667,80700.0
-120.43,34.86,17.0,1932.0,347.0,874.0,312.0,3.8203,141500.0
-122.46,37.66,15.0,6082.0,1284.0,3861.0,1198.0,5.4221,284700.0
-120.99,38.67,8.0,4913.0,744.0,2005.0,723.0,5.4413,187900.0
-118.01,33.9,36.0,1382.0,257.0,685.0,255.0,5.125,211700.0
-122.49,37.69,35.0,2576.0,443.0,1273.0,433.0,4.7391,272800.0
-121.83,37.99,18.0,2741.0,449.0,1507.0,460.0,4.7566,142500.0
-118.19,33.82,11.0,872.0,203.0,422.0,221.0,4.6364,156300.0
-118.09,33.95,36.0,1991.0,396.0,1306.0,403.0,4.5,166600.0
-118.44,34.3,38.0,1595.0,314.0,1181.0,327.0,3.4,155500.0
-121.82,37.28,31.0,1340.0,235.0,1336.0,270.0,4.2361,179500.0
-120.95,37.57,29.0,1179.0,249.0,672.0,243.0,3.1125,154800.0
-117.09,32.64,38.0,2095.0,536.0,1240.0,550.0,2.7218,145900.0
-124.14,40.57,29.0,2864.0,600.0,1314.0,562.0,2.1354,75100.0
-122.21,37.47,43.0,733.0,162.0,497.0,175.0,3.2708,255300.0
-117.24,32.79,25.0,2135.0,691.0,566.0,320.0,2.6902,212500.0
-117.14,32.7,47.0,552.0,161.0,593.0,174.0,0.9589,90000.0
-122.23,37.45,34.0,4177.0,723.0,1586.0,660.0,5.0457,395100.0
-121.96,36.98,16.0,4907.0,1117.0,2265.0,1048.0,2.6757,229200.0
-117.15,32.77,16.0,2056.0,631.0,847.0,569.0,2.9576,92200.0
-121.4,38.55,19.0,2497.0,494.0,748.0,442.0,2.925,142400.0
-117.71,33.54,15.0,2460.0,368.0,962.0,320.0,7.3878,318300.0
-118.01,33.83,29.0,3963.0,772.0,2104.0,743.0,4.9803,208600.0
-119.89,36.64,34.0,1422.0,237.0,716.0,222.0,2.975,90000.0
-117.5,33.95,29.0,932.0,153.0,711.0,172.0,4.8214,143400.0
-118.22,33.97,47.0,1058.0,295.0,1097.0,274.0,2.881,183300.0
-118.08,34.13,39.0,788.0,128.0,413.0,139.0,5.9546,396700.0
-122.26,37.77,52.0,1210.0,168.0,411.0,172.0,3.3571,405400.0
-120.59,34.7,29.0,17738.0,3114.0,12427.0,2826.0,2.7377,28300.0
-122.48,37.78,44.0,3371.0,794.0,1738.0,753.0,3.1653,335300.0
-118.25,33.79,34.0,1349.0,371.0,1716.0,380.0,2.7143,138100.0
-122.72,38.44,52.0,1059.0,281.0,627.0,273.0,1.5357,137500.0
-121.89,37.38,3.0,4778.0,1047.0,2522.0,990.0,5.7695,271400.0
-118.75,34.1,34.0,2255.0,402.0,857.0,317.0,4.5333,377300.0
-122.23,40.57,18.0,1633.0,243.0,750.0,252.0,5.1585,150800.0
-118.07,34.16,39.0,1804.0,265.0,730.0,276.0,6.4761,397500.0
-117.96,33.79,36.0,2398.0,403.0,1261.0,402.0,5.2816,221800.0
-121.14,37.52,37.0,1358.0,231.0,586.0,214.0,3.1645,170800.0
-121.32,38.16,14.0,2049.0,398.0,1071.0,369.0,3.5,240800.0
-121.35,38.55,18.0,4481.0,780.0,2211.0,775.0,3.9934,123300.0
-118.42,34.04,52.0,1358.0,272.0,574.0,267.0,5.6454,500001.0
-118.84,34.15,17.0,3785.0,494.0,1527.0,507.0,8.4443,358500.0
-121.14,37.48,6.0,1772.0,332.0,1011.0,331.0,3.7045,128100.0
-120.46,34.63,48.0,1408.0,301.0,682.0,279.0,2.9271,146600.0
-121.38,38.59,36.0,1239.0,237.0,764.0,222.0,3.0156,103000.0
-122.08,37.63,31.0,767.0,171.0,548.0,185.0,3.7614,176000.0
-122.76,38.45,8.0,5823.0,1104.0,2864.0,1041.0,3.6292,183600.0
-121.47,38.49,17.0,3595.0,790.0,2760.0,770.0,2.3233,78800.0
-120.41,34.87,15.0,1534.0,251.0,761.0,240.0,4.9028,193600.0
-121.54,36.99,27.0,2361.0,449.0,1782.0,397.0,3.2614,305000.0
-122.66,38.48,21.0,2066.0,393.0,919.0,395.0,3.267,176200.0
-118.28,34.1,49.0,2843.0,880.0,2004.0,796.0,2.7875,217300.0
-122.75,38.48,4.0,6487.0,1112.0,2958.0,1131.0,4.5417,197400.0
-117.89,33.88,33.0,1582.0,256.0,771.0,240.0,5.3836,229600.0
-117.66,33.62,16.0,4065.0,661.0,1962.0,636.0,6.2177,256600.0
-118.18,34.06,45.0,934.0,228.0,893.0,192.0,2.53,140300.0
-123.48,40.79,15.0,619.0,160.0,287.0,104.0,1.9107,79200.0
-121.43,38.46,18.0,1378.0,235.0,818.0,262.0,4.0625,100300.0
-121.93,37.32,50.0,1135.0,215.0,500.0,207.0,4.2614,211300.0
-117.03,32.72,38.0,886.0,176.0,505.0,188.0,3.5938,125400.0
-121.37,39.03,32.0,1158.0,244.0,598.0,227.0,2.8235,65500.0
-118.31,34.05,38.0,1864.0,515.0,1768.0,439.0,1.9336,190600.0
-117.13,32.76,27.0,2280.0,695.0,1235.0,664.0,1.9392,142900.0
-122.4,40.57,23.0,1321.0,259.0,749.0,222.0,1.655,90100.0
-118.72,34.14,7.0,23866.0,4407.0,9873.0,4012.0,5.4032,318500.0
-121.44,38.57,52.0,3080.0,545.0,975.0,495.0,3.776,164500.0
-117.93,33.74,5.0,639.0,197.0,666.0,197.0,3.3017,87500.0
