longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,longitude_rep1,longitude_rep2,longitude_rep3,longitude_rep4,longitude_rep5,median_house_value
-121.55,39.1,27.0,1783.0,441.0,1163.0,409.0,1.2857,-121.55,-121.55,-121.55,-121.55,-121.55,47000.0
-118.32,34.05,42.0,3292.0,713.0,2224.0,674.0,3.5517,-118.32,-118.32,-118.32,-118.32,-118.32,291500.0
-118.02,33.83,26.0,3616.0,892.0,2257.0,821.0,3.1497,-118.02,-118.02,-118.02,-118.02,-118.02,217600.0
-118.18,33.87,38.0,2664.0,626.0,1627.0,604.0,3.7527,-118.18,-118.18,-118.18,-118.18,-118.18,161900.0
-117.96,33.68,24.0,6517.0,1279.0,3441.0,1198.0,4.25,-117.96,-117.96,-117.96,-117.96,-117.96,152100.0
-117.1,34.21,22.0,4397.0,931.0,1145.0,445.0,4.5268,-117.1,-117.1,-117.1,-117.1,-117.1,108400.0
-117.56,33.88,40.0,1196.0,294.0,1052.0,258.0,2.0682,-117.56,-117.56,-117.56,-117.56,-117.56,113000.0
-121.01,37.68,33.0,828.0,123.0,373.0,133.0,5.5,-121.01,-121.01,-121.01,-121.01,-121.01,146200.0
-118.29,34.07,24.0,4021.0,1707.0,3727.0,1529.0,1.7365,-118.29,-118.29,-118.29,-118.29,-118.29,112500.0
-118.29,34.06,46.0,1759.0,1012.0,2716.0,877.0,2.1637,-118.29,-118.29,-118.29,-118.29,-118.29,350000.0
-121.36,36.81,7.0,4609.0,741.0,1660.0,720.0,5.0871,-121.36,-121.36,-121.36,-121.36,-121.36,290500.0
-122.44,37.72,49.0,1557.0,405.0,1173.0,385.0,3.4605,-122.44,-122.44,-122.44,-122.44,-122.44,265000.0
-118.42,34.15,31.0,1861.0,430.0,736.0,360.0,5.2853,-118.42,-118.42,-118.42,-118.42,-118.42,355900.0
-118.44,34.21,37.0,1665.0,335.0,1011.0,343.0,4.8703,-118.44,-118.44,-118.44,-118.44,-118.44,185100.0
-122.06,37.96,37.0,1784.0,313.0,788.0,304.0,4.2917,-122.06,-122.06,-122.06,-122.06,-122.06,189600.0
-118.39,34.08,52.0,1244.0,304.0,444.0,282.0,3.5114,-118.39,-118.39,-118.39,-118.39,-118.39,430800.0
-118.62,34.21,26.0,3234.0,517.0,1597.0,513.0,6.1074,-118.62,-118.62,-118.62,-118.62,-118.62,258600.0
-122.1,37.38,37.0,4167.0,612.0,1577.0,597.0,7.5655,-122.1,-122.1,-122.1,-122.1,-122.1,500001.0
-122.03,38.0,25.0,3577.0,581.0,1753.0,593.0,5.7295,-122.03,-122.03,-122.03,-122.03,-122.03,178300.0
-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,-122.23,-122.23,-122.23,-122.23,-122.23,373600.0
-119.56,36.53,19.0,2746.0,495.0,1670.0,518.0,3.2019,-119.56,-119.56,-119.56,-119.56,-119.56,95700.0
-115.55,32.79,23.0,1004.0,221.0,697.0,201.0,1.6351,-115.55,-115.55,-115.55,-115.55,-115.55,59600.0
-117.16,34.06,33.0,2101.0,468.0,1997.0,412.0,2.8125,-117.16,-117.16,-117.16,-117.16,-117.16,117200.0
-122.02,37.01,20.0,1005.0,138.0,345.0,129.0,10.0968,-122.02,-122.02,-122.02,-122.02,-122.02,500001.0
-122.04,37.59,14.0,1727.0,302.0,1116.0,273.0,5.3428,-122.04,-122.04,-122.04,-122.04,-122.04,243600.0
-119.35,36.32,10.0,3817.0,719.0,1686.0,714.0,3.8235,-119.35,-119.35,-119.35,-119.35,-119.35,94600.0
-121.3,38.13,27.0,1004.0,192.0,470.0,192.0,2.8942,-121.3,-121.3,-121.3,-121.3,-121.3,116700.0
-118.12,34.14,52.0,2337.0,352.0,981.0,328.0,5.8692,-118.12,-118.12,-118.12,-118.12,-118.12,490400.0
-118.36,33.87,22.0,2114.0,541.0,1300.0,538.0,3.4208,-118.36,-118.36,-118.36,-118.36,-118.36,290000.0
-117.81,33.73,23.0,3056.0,556.0,1508.0,555.0,4.7273,-117.81,-117.81,-117.81,-117.81,-117.81,234200.0
-118.01,34.11,36.0,1722.0,320.0,794.0,322.0,4.2132,-118.01,-118.01,-118.01,-118.01,-118.01,212200.0
-122.22,40.18,13.0,3719.0,803.0,1754.0,764.0,2.3517,-122.22,-122.22,-122.22,-122.22,-122.22,88900.0
-118.12,33.97,33.0,3099.0,839.0,2025.0,750.0,3.183,-118.12,-118.12,-118.12,-118.12,-118.12,191100.0
-118.15,33.77,52.0,2204.0,498.0,899.0,445.0,4.1765,-118.15,-118.15,-118.15,-118.15,-118.15,393900.0
-114.64,34.83,10.0,2502.0,573.0,1152.0,481.0,1.7062,-114.64,-114.64,-114.64,-114.64,-114.64,86800.0
-118.19,34.06,44.0,1734.0,364.0,1133.0,351.0,2.5132,-118.19,-118.19,-118.19,-118.19,-118.19,163100.0
-118.34,33.83,34.0,1761.0,329.0,965.0,329.0,5.399,-118.34,-118.34,-118.34,-118.34,-118.34,358500.0
-116.95,32.82,12.0,5535.0,1434.0,3112.0,1262.0,2.5949,-116.95,-116.95,-116.95,-116.95,-116.95,108300.0
-116.01,33.51,24.0,2985.0,958.0,4042.0,905.0,1.7344,-116.01,-116.01,-116.01,-116.01,-116.01,66400.0
-122.29,37.41,30.0,6373.0,854.0,2149.0,798.0,10.6868,-122.29,-122.29,-122.29,-122.29,-122.29,500001.0
-118.42,33.97,44.0,1462.0,240.0,562.0,237.0,4.9375,-118.42,-118.42,-118.42,-118.42,-118.42,365200.0
-118.01,33.74,25.0,8110.0,1264.0,3613.0,1232.0,6.0609,-118.01,-118.01,-118.01,-118.01,-118.01,264900.0
-116.54,33.81,24.0,6087.0,1217.0,1721.0,833.0,3.1493,-116.54,-116.54,-116.54,-116.54,-116.54,199400.0
-117.12,34.1,40.0,96.0,14.0,46.0,14.0,3.2708,-117.12,-117.12,-117.12,-117.12,-117.12,162500.0
-118.72,34.28,17.0,2654.0,478.0,1392.0,451.0,5.4459,-118.72,-118.72,-118.72,-118.72,-118.72,223900.0
-117.7,33.6,25.0,1321.0,295.0,396.0,278.0,3.1131,-117.7,-117.7,-117.7,-117.7,-117.7,77100.0
-118.22,33.97,43.0,381.0,67.0,259.0,60.0,3.0313,-118.22,-118.22,-118.22,-118.22,-118.22,166100.0
-121.7,37.98,9.0,3079.0,519.0,1562.0,512.0,5.1041,-121.7,-121.7,-121.7,-121.7,-121.7,172900.0
-121.33,38.63,23.0,1947.0,409.0,866.0,400.0,2.7181,-121.33,-121.33,-121.33,-121.33,-121.33,156800.0
-121.99,37.34,26.0,3637.0,933.0,2249.0,905.0,3.9625,-121.99,-121.99,-121.99,-121.99,-121.99,262900.0
-118.39,33.89,30.0,2532.0,464.0,1056.0,419.0,6.3434,-118.39,-118.39,-118.39,-118.39,-118.39,460400.0
-122.37,40.58,25.0,2054.0,495.0,835.0,475.0,2.1538,-122.37,-122.37,-122.37,-122.37,-122.37,76900.0
-123.35,40.99,23.0,141.0,59.0,47.0,23.0,1.125,-123.35,-123.35,-123.35,-123.35,-123.35,66000.0
-118.63,34.18,32.0,1646.0,242.0,697.0,233.0,6.6689,-118.63,-118.63,-118.63,-118.63,-118.63,433000.0
-121.87,37.42,19.0,12128.0,2112.0,6810.0,2040.0,6.4419,-121.87,-121.87,-121.87,-121.87,-121.87,264500.0
-121.04,37.5,33.0,613.0,123.0,343.0,116.0,3.1875,-121.04,-121.04,-121.04,-121.04,-121.04,129200.0
-118.33,33.98,30.0,3112.0,931.0,2739.0,841.0,1.6531,-118.33,-118.33,-118.33,-118.33,-118.33,118500.0
-121.94,37.34,36.0,3142.0,632.0,1372.0,560.0,5.0175,-121.94,-121.94,-121.94,-121.94,-121.94,246100.0
-122.4,37.6,52.0,1380.0,203.0,530.0,210.0,6.221,-122.4,-122.4,-122.4,-122.4,-122.4,420300.0
-118.46,34.2,22.0,4855.0,1350.0,2519.0,1258.0,3.0893,-118.46,-118.46,-118.46,-118.46,-118.46,205600.0
-117.84,34.63,5.0,6739.0,1251.0,4614.0,1266.0,4.002,-117.84,-117.84,-117.84,-117.84,-117.84,115100.0
-117.29,34.41,11.0,5934.0,1380.0,2756.0,1239.0,1.5758,-117.29,-117.29,-117.29,-117.29,-117.29,108300.0
-120.88,38.45,25.0,1374.0,297.0,657.0,288.0,2.5476,-120.88,-120.88,-120.88,-120.88,-120.88,97900.0
-120.98,37.64,39.0,2617.0,659.0,2052.0,642.0,1.6952,-120.98,-120.98,-120.98,-120.98,-120.98,65000.0
-117.1,32.7,42.0,2002.0,488.0,1505.0,464.0,1.5057,-117.1,-117.1,-117.1,-117.1,-117.1,86300.0
-117.81,33.69,5.0,1256.0,256.0,880.0,288.0,2.4233,-117.81,-117.81,-117.81,-117.81,-117.81,450000.0
-118.85,34.18,11.0,5873.0,1455.0,3089.0,1365.0,3.5504,-118.85,-118.85,-118.85,-118.85,-118.85,173800.0
-117.01,32.76,34.0,3415.0,608.0,1464.0,593.0,4.0549,-117.01,-117.01,-117.01,-117.01,-117.01,223700.0
-121.33,38.64,27.0,2203.0,493.0,1158.0,492.0,2.4342,-121.33,-121.33,-121.33,-121.33,-121.33,119500.0
-122.45,41.28,15.0,2740.0,503.0,1188.0,445.0,3.4519,-122.45,-122.45,-122.45,-122.45,-122.45,128800.0
-122.27,38.68,18.0,742.0,142.0,343.0,119.0,3.1563,-122.27,-122.27,-122.27,-122.27,-122.27,98400.0
-119.23,35.77,36.0,3225.0,635.0,2034.0,593.0,2.4044,-119.23,-119.23,-119.23,-119.23,-119.23,72500.0
-122.43,37.8,52.0,2696.0,572.0,925.0,552.0,5.0365,-122.43,-122.43,-122.43,-122.43,-122.43,500000.0
-117.89,33.94,20.0,3349.0,685.0,1822.0,675.0,4.7216,-117.89,-117.89,-117.89,-117.89,-117.89,227000.0
-122.01,39.21,50.0,1592.0,372.0,781.0,307.0,2.2679,-122.01,-122.01,-122.01,-122.01,-122.01,69100.0
-121.62,36.68,43.0,2534.0,592.0,2448.0,603.0,2.4884,-121.62,-121.62,-121.62,-121.62,-121.62,130500.0
-118.28,34.01,50.0,2601.0,794.0,3080.0,770.0,1.8656,-118.28,-118.28,-118.28,-118.28,-118.28,122900.0
-118.06,33.78,22.0,4048.0,562.0,1637.0,541.0,7.3463,-118.06,-118.06,-118.06,-118.06,-118.06,355600.0
-122.07,37.67,28.0,2932.0,739.0,1198.0,624.0,3.2417,-122.07,-122.07,-122.07,-122.07,-122.07,210800.0
-117.65,33.42,25.0,2174.0,428.0,603.0,352.0,3.3967,-117.65,-117.65,-117.65,-117.65,-117.65,249400.0
-118.26,33.97,47.0,1504.0,374.0,1168.0,358.0,1.4625,-118.26,-118.26,-118.26,-118.26,-118.26,94200.0
-118.19,33.99,36.0,1273.0,379.0,1398.0,353.0,2.4516,-118.19,-118.19,-118.19,-118.19,-118.19,147800.0
-122.04,36.97,49.0,792.0,136.0,331.0,137.0,5.2128,-122.04,-122.04,-122.04,-122.04,-122.04,238600.0
-117.25,32.75,36.0,1929.0,526.0,974.0,491.0,1.7622,-117.25,-117.25,-117.25,-117.25,-117.25,205800.0
-117.3,33.17,6.0,7880.0,1533.0,3760.0,1460.0,4.1807,-117.3,-117.3,-117.3,-117.3,-117.3,182600.0
-117.27,32.83,35.0,1420.0,193.0,469.0,177.0,8.0639,-117.27,-117.27,-117.27,-117.27,-117.27,500001.0
-117.82,33.77,32.0,2308.0,301.0,967.0,320.0,7.0565,-117.82,-117.82,-117.82,-117.82,-117.82,324600.0
-118.24,33.95,21.0,1260.0,342.0,1167.0,310.0,0.9708,-118.24,-118.24,-118.24,-118.24,-118.24,107600.0
-118.99,35.37,36.0,832.0,198.0,814.0,174.0,1.4773,-118.99,-118.99,-118.99,-118.99,-118.99,57400.0
-120.44,34.97,26.0,1705.0,344.0,1605.0,307.0,3.7589,-120.44,-120.44,-120.44,-120.44,-120.44,113700.0
-121.49,38.56,52.0,1844.0,392.0,667.0,353.0,3.0033,-121.49,-121.49,-121.49,-121.49,-121.49,103500.0
-121.57,39.48,15.0,202.0,54.0,145.0,40.0,0.8252,-121.57,-121.57,-121.57,-121.57,-121.57,42500.0
-119.59,36.11,32.0,752.0,159.0,524.0,155.0,2.25,-119.59,-119.59,-119.59,-119.59,-119.59,50000.0
-118.31,34.06,34.0,2470.0,1197.0,2326.0,1055.0,1.9038,-118.31,-118.31,-118.31,-118.31,-118.31,325000.0
-118.33,33.91,35.0,1092.0,302.0,962.0,297.0,3.5903,-118.33,-118.33,-118.33,-118.33,-118.33,183300.0
-119.05,36.07,21.0,2472.0,523.0,1238.0,504.0,1.7756,-119.05,-119.05,-119.05,-119.05,-119.05,62900.0
-118.23,34.13,48.0,737.0,166.0,462.0,131.0,3.5893,-118.23,-118.23,-118.23,-118.23,-118.23,212500.0
-122.42,37.74,52.0,1271.0,353.0,1076.0,324.0,2.9911,-122.42,-122.42,-122.42,-122.42,-122.42,263900.0
-121.91,36.98,16.0,1957.0,408.0,865.0,369.0,2.6875,-121.91,-121.91,-121.91,-121.91,-121.91,233300.0
-119.12,35.33,4.0,8574.0,1489.0,4250.0,1444.0,5.1036,-119.12,-119.12,-119.12,-119.12,-119.12,103400.0
-122.62,38.54,24.0,2409.0,464.0,1006.0,403.0,4.5167,-122.62,-122.62,-122.62,-122.62,-122.62,265200.0
-117.66,33.61,17.0,3464.0,519.0,1713.0,530.0,6.0471,-117.66,-117.66,-117.66,-117.66,-117.66,248400.0
-118.33,34.07,52.0,1482.0,171.0,531.0,161.0,15.0001,-118.33,-118.33,-118.33,-118.33,-118.33,500001.0
-118.44,35.13,21.0,1899.0,447.0,1133.0,391.0,1.8636,-118.44,-118.44,-118.44,-118.44,-118.44,67900.0
-116.94,34.4,20.0,6541.0,1401.0,2631.0,980.0,2.1339,-116.94,-116.94,-116.94,-116.94,-116.94,78500.0
-118.25,34.17,52.0,1532.0,292.0,631.0,275.0,5.1242,-118.25,-118.25,-118.25,-118.25,-118.25,372900.0
-118.52,34.32,18.0,7498.0,976.0,3189.0,955.0,8.1248,-118.52,-118.52,-118.52,-118.52,-118.52,374000.0
-119.18,34.22,15.0,4615.0,1008.0,2549.0,973.0,3.9063,-119.18,-119.18,-119.18,-119.18,-119.18,198700.0
-121.34,38.01,17.0,2033.0,452.0,1114.0,446.0,3.2872,-121.34,-121.34,-121.34,-121.34,-121.34,175000.0
-118.34,34.08,52.0,1721.0,195.0,688.0,196.0,15.0001,-118.34,-118.34,-118.34,-118.34,-118.34,500001.0
-122.18,37.73,44.0,548.0,119.0,435.0,136.0,2.1111,-122.18,-122.18,-122.18,-122.18,-122.18,79700.0
-121.79,37.33,10.0,3283.0,550.0,2491.0,522.0,6.6633,-121.79,-121.79,-121.79,-121.79,-121.79,283700.0
-117.82,33.68,3.0,7105.0,1459.0,3068.0,1241.0,6.1395,-117.82,-117.82,-117.82,-117.82,-117.82,358000.0
-122.12,37.75,28.0,794.0,111.0,329.0,109.0,7.6923,-122.12,-122.12,-122.12,-122.12,-122.12,329800.0
-122.16,37.74,44.0,1097.0,239.0,609.0,215.0,2.0227,-122.16,-122.16,-122.16,-122.16,-122.16,103100.0
-117.22,34.12,34.0,2457.0,499.0,1538.0,507.0,2.809,-117.22,-117.22,-117.22,-117.22,-117.22,82500.0
-118.21,34.12,52.0,1590.0,360.0,1127.0,321.0,3.4625,-118.21,-118.21,-118.21,-118.21,-118.21,173900.0
-118.13,34.44,10.0,2726.0,465.0,1773.0,459.0,4.8295,-118.13,-118.13,-118.13,-118.13,-118.13,319100.0
-118.59,34.22,17.0,6015.0,1464.0,3056.0,1347.0,4.0077,-118.59,-118.59,-118.59,-118.59,-118.59,229000.0
-117.79,34.45,18.0,2986.0,597.0,1355.0,472.0,3.2765,-117.79,-117.79,-117.79,-117.79,-117.79,165000.0
-118.44,34.02,32.0,2242.0,490.0,921.0,461.0,4.0429,-118.44,-118.44,-118.44,-118.44,-118.44,500001.0
-119.18,34.23,16.0,4609.0,1220.0,2147.0,1007.0,3.375,-119.18,-119.18,-119.18,-119.18,-119.18,218800.0
-122.43,37.8,52.0,1976.0,726.0,1045.0,669.0,3.6893,-122.43,-122.43,-122.43,-122.43,-122.43,475000.0
-118.01,33.75,30.0,3380.0,722.0,2269.0,652.0,4.525,-118.01,-118.01,-118.01,-118.01,-118.01,186000.0
-118.02,34.09,24.0,2080.0,514.0,1976.0,478.0,2.6917,-118.02,-118.02,-118.02,-118.02,-118.02,170000.0
-118.25,33.98,37.0,1045.0,361.0,1666.0,337.0,1.7929,-118.25,-118.25,-118.25,-118.25,-118.25,97200.0
-117.63,33.62,9.0,4257.0,785.0,1293.0,745.0,3.7139,-117.63,-117.63,-117.63,-117.63,-117.63,196700.0
-121.92,36.56,39.0,2144.0,538.0,749.0,419.0,2.7039,-121.92,-121.92,-121.92,-121.92,-121.92,364000.0
-120.45,34.95,7.0,1479.0,532.0,1057.0,459.0,2.2538,-120.45,-120.45,-120.45,-120.45,-120.45,162500.0
-122.87,38.61,23.0,2676.0,521.0,1456.0,500.0,3.7361,-122.87,-122.87,-122.87,-122.87,-122.87,173700.0
-117.9,33.65,24.0,4496.0,877.0,1928.0,855.0,4.6808,-117.9,-117.9,-117.9,-117.9,-117.9,245500.0
-122.0,37.98,32.0,1013.0,169.0,436.0,173.0,5.1118,-122.0,-122.0,-122.0,-122.0,-122.0,226900.0
-121.31,38.59,35.0,3295.0,560.0,1454.0,536.0,3.1711,-121.31,-121.31,-121.31,-121.31,-121.31,101900.0
-122.71,38.33,13.0,4011.0,936.0,2064.0,914.0,3.6953,-122.71,-122.71,-122.71,-122.71,-122.71,157600.0
-118.24,33.99,28.0,312.0,89.0,498.0,87.0,2.4107,-118.24,-118.24,-118.24,-118.24,-118.24,96400.0
-122.36,40.57,31.0,431.0,90.0,231.0,78.0,2.184,-122.36,-122.36,-122.36,-122.36,-122.36,77300.0
-117.32,33.17,18.0,2143.0,299.0,828.0,283.0,4.2383,-117.32,-117.32,-117.32,-117.32,-117.32,239000.0
-117.5,34.04,5.0,3958.0,665.0,2456.0,666.0,5.1647,-117.5,-117.5,-117.5,-117.5,-117.5,154700.0
-117.92,33.72,17.0,3318.0,502.0,1520.0,498.0,5.5501,-117.92,-117.92,-117.92,-117.92,-117.92,274200.0
-118.12,34.18,44.0,2357.0,342.0,891.0,337.0,6.3467,-118.12,-118.12,-118.12,-118.12,-118.12,352700.0
-122.1,37.66,35.0,686.0,142.0,480.0,149.0,3.875,-122.1,-122.1,-122.1,-122.1,-122.1,162100.0
-121.99,36.98,40.0,1104.0,224.0,669.0,215.0,4.3409,-121.99,-121.99,-121.99,-121.99,-121.99,256300.0
-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,-122.21,-122.21,-122.21,-122.21,-122.21,331400.0
-121.99,38.26,18.0,921.0,126.0,368.0,120.0,6.0842,-121.99,-121.99,-121.99,-121.99,-121.99,261100.0
-118.39,33.88,33.0,2543.0,439.0,1098.0,416.0,5.9683,-118.39,-118.39,-118.39,-118.39,-118.39,495500.0
-118.08,33.97,36.0,1678.0,323.0,1380.0,352.0,3.5481,-118.08,-118.08,-118.08,-118.08,-118.08,163300.0
-118.32,33.34,52.0,996.0,264.0,341.0,160.0,2.7361,-118.32,-118.32,-118.32,-118.32,-118.32,450000.0
-118.28,33.94,43.0,1201.0,292.0,840.0,252.0,2.7917,-118.28,-118.28,-118.28,-118.28,-118.28,105600.0
-118.04,34.09,34.0,2597.0,461.0,1542.0,470.0,4.6211,-118.04,-118.04,-118.04,-118.04,-118.04,248900.0
-119.16,34.28,11.0,5330.0,1056.0,2801.0,1028.0,4.763,-119.16,-119.16,-119.16,-119.16,-119.16,232700.0
-118.04,33.96,37.0,1948.0,395.0,1163.0,379.0,3.225,-118.04,-118.04,-118.04,-118.04,-118.04,154000.0
-118.13,33.84,48.0,1895.0,294.0,881.0,293.0,6.3364,-118.13,-118.13,-118.13,-118.13,-118.13,307400.0
-117.79,33.56,36.0,2057.0,329.0,658.0,309.0,7.866,-117.79,-117.79,-117.79,-117.79,-117.79,500001.0
-118.07,33.87,18.0,3405.0,556.0,1945.0,509.0,5.7652,-118.07,-118.07,-118.07,-118.07,-118.07,299100.0
-118.59,34.26,20.0,8146.0,1131.0,3562.0,1054.0,7.167,-118.59,-118.59,-118.59,-118.59,-118.59,357100.0
-119.04,36.07,17.0,2623.0,659.0,1912.0,618.0,1.5893,-119.04,-119.04,-119.04,-119.04,-119.04,52000.0
-119.01,35.33,42.0,1120.0,255.0,677.0,213.0,1.5429,-119.01,-119.01,-119.01,-119.01,-119.01,39400.0
-119.77,36.81,28.0,1713.0,302.0,663.0,282.0,3.567,-119.77,-119.77,-119.77,-119.77,-119.77,85500.0
-118.18,34.05,41.0,616.0,196.0,814.0,180.0,3.3333,-118.18,-118.18,-118.18,-118.18,-118.18,115100.0
-119.87,36.93,13.0,1429.0,209.0,702.0,205.0,4.3625,-119.87,-119.87,-119.87,-119.87,-119.87,111800.0
-117.93,33.61,27.0,1806.0,465.0,791.0,358.0,3.8125,-117.93,-117.93,-117.93,-117.93,-117.93,366700.0
-118.56,34.21,13.0,8327.0,1849.0,4126.0,1773.0,3.7313,-118.56,-118.56,-118.56,-118.56,-118.56,189800.0
-119.72,34.43,36.0,1156.0,309.0,521.0,304.0,2.6014,-119.72,-119.72,-119.72,-119.72,-119.72,320600.0
-119.03,35.38,52.0,1695.0,290.0,540.0,260.0,2.7312,-119.03,-119.03,-119.03,-119.03,-119.03,147100.0
-117.98,33.74,29.0,3443.0,635.0,2257.0,620.0,4.7404,-117.98,-117.98,-117.98,-117.98,-117.98,207500.0
-119.78,36.72,22.0,354.0,121.0,530.0,115.0,2.1458,-119.78,-119.78,-119.78,-119.78,-119.78,34400.0
-121.06,39.04,15.0,1999.0,287.0,585.0,246.0,5.5161,-121.06,-121.06,-121.06,-121.06,-121.06,361900.0
-118.31,33.83,45.0,2929.0,755.0,1635.0,652.0,2.9375,-118.31,-118.31,-118.31,-118.31,-118.31,273000.0
-117.07,32.69,28.0,1485.0,275.0,820.0,283.0,4.069,-117.07,-117.07,-117.07,-117.07,-117.07,153300.0
-119.43,36.59,15.0,1371.0,306.0,1266.0,309.0,1.767,-119.43,-119.43,-119.43,-119.43,-119.43,63300.0
-117.07,32.76,14.0,2523.0,545.0,1297.0,525.0,2.3886,-117.07,-117.07,-117.07,-117.07,-117.07,138100.0
-121.07,38.9,52.0,1280.0,281.0,523.0,266.0,1.7375,-121.07,-121.07,-121.07,-121.07,-121.07,122200.0
-117.39,34.12,7.0,5059.0,780.0,3253.0,801.0,4.9196,-117.39,-117.39,-117.39,-117.39,-117.39,140500.0
-118.16,33.88,33.0,2180.0,522.0,1634.0,467.0,3.0114,-118.16,-118.16,-118.16,-118.16,-118.16,167000.0
-119.25,34.3,34.0,1189.0,220.0,445.0,203.0,4.8824,-119.25,-119.25,-119.25,-119.25,-119.25,396400.0
-118.02,33.95,36.0,1705.0,299.0,871.0,296.0,4.6184,-118.02,-118.02,-118.02,-118.02,-118.02,179800.0
-118.31,33.94,43.0,2104.0,393.0,1132.0,394.0,3.0682,-118.31,-118.31,-118.31,-118.31,-118.31,142000.0
-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,1.7772,-122.25,-122.25,-122.25,-122.25,-122.25,97500.0
-122.81,38.08,19.0,1615.0,366.0,815.0,337.0,3.4609,-122.81,-122.81,-122.81,-122.81,-122.81,238800.0
-121.97,38.34,11.0,1500.0,319.0,899.0,304.0,4.5568,-121.97,-121.97,-121.97,-121.97,-121.97,127200.0
-118.07,33.88,17.0,2407.0,539.0,1422.0,524.0,4.2619,-118.07,-118.07,-118.07,-118.07,-118.07,139700.0
-121.28,38.74,33.0,4384.0,778.0,1775.0,789.0,4.05,-121.28,-121.28,-121.28,-121.28,-121.28,134700.0
-121.52,39.49,30.0,1217.0,238.0,677.0,233.0,2.6563,-121.52,-121.52,-121.52,-121.52,-121.52,63600.0
-122.24,37.76,52.0,2646.0,581.0,1128.0,522.0,3.0718,-122.24,-122.24,-122.24,-122.24,-122.24,266700.0
-118.36,34.19,11.0,2921.0,685.0,1512.0,664.0,4.1445,-118.36,-118.36,-118.36,-118.36,-118.36,176400.0
-122.45,38.51,18.0,1297.0,337.0,610.0,312.0,1.9441,-122.45,-122.45,-122.45,-122.45,-122.45,184400.0
-117.64,33.61,14.0,5232.0,810.0,3041.0,839.0,5.826,-117.64,-117.64,-117.64,-117.64,-117.64,247900.0
-122.43,40.66,15.0,2532.0,458.0,1183.0,450.0,2.5417,-122.43,-122.43,-122.43,-122.43,-122.43,92200.0
-118.31,34.03,29.0,2438.0,867.0,2114.0,753.0,0.8351,-118.31,-118.31,-118.31,-118.31,-118.31,150000.0
-121.92,37.29,32.0,1260.0,199.0,560.0,207.0,6.5858,-121.92,-121.92,-121.92,-121.92,-121.92,346700.0
-118.02,34.12,38.0,1778.0,288.0,870.0,281.0,6.5784,-118.02,-118.02,-118.02,-118.02,-118.02,408500.0
-122.46,37.68,23.0,2812.0,769.0,1983.0,681.0,2.9413,-122.46,-122.46,-122.46,-122.46,-122.46,229400.0
-117.81,34.01,12.0,9197.0,1642.0,4332.0,1554.0,4.9589,-117.81,-117.81,-117.81,-117.81,-117.81,282100.0
-118.23,33.93,37.0,239.0,49.0,308.0,52.0,1.4028,-118.23,-118.23,-118.23,-118.23,-118.23,105400.0
-118.24,34.15,7.0,2063.0,670.0,1892.0,643.0,1.7301,-118.24,-118.24,-118.24,-118.24,-118.24,202300.0
